96364 0
42053 17961
-42250 -43896
-153327 -85
106389 44393
49611 50160
-82435 -208586
631 -63
-228187 -94731
92249 91905
11800 29280
-3550 276010
-22216 52541
-413844 -415209
134563 324193
162 135486
-72508 168871
-67798 66446
951 -585728
92826 -224611
75390 -76520
42053 -17961
37846 0
-138890 -58038
-42558 18475
69273 -642
66741 27285
-322867 -324361
-13302 -32834
-117060 1603
31052 11762
-18571 -19532
173557 419608
277 56229
-229515 -91405
99519 95638
17042 38801
67 196175
-19043 46931
-97240 -226752
-1602 -110046
-15460 35435
-42250 43896
-138890 58038
1326312 0
-148621 148177
-191179 82553
-443919 1376
3551747 1467835
267475 265870
98783 -49149
245441 2166
398674 170983
-2530369 -2520652
-130111 -310404
-64594 -10829
135007 64870
126231 128577
-486503 -1162487
-2937 -105857
-43619 -53361
23733 44849
-2501 -902402
-153327 85
-42558 -18475
-148621 -148177
334537 0
-146935 -61840
-14472 -14566
-202443 -483070
-823 -91607
390984 163550
-209645 -209988
-60501 -150850
3141 362836
9039 -20757
764782 768476
-257834 -624445
-631 -288982
15529 -28997
105967 -103185
-1551 1083555
-164564 397655
-292870 294523
106389 -44393
69273 642
-191179 -82553
-146935 61840
161649 0
118881 49999
-461035 -473874
-13868 -36542
-303141 1307
119007 48000
-4474 -6264
258606 644859
-630 102485
-634207 -260266
283783 279894
54931 129137
-3403 349051
-47787 113603
-263624 -631274
-1631 -292004
10788 -32439
49611 -50160
66741 -27285
-443919 -1376
-14472 14566
118881 -49999
181065 0
-1215273 -506764
-82712 -82773
-158083 67918
-3371 -865
-107294 -46430
890477 893008
52170 125901
-306927 3091
139446 54742
14894 13669
187972 455200
334 85748
-217414 -215014
-59407 -139412
13 220050
-82435 208586
-322867 324361
3551747 -1467835
-202443 483070
-461035 473874
-1215273 506764
11202428 0
1005120 414199
300732 -333115
593597 -237244
1234620 16396
-9655390 -3985946
-710187 -705164
102703 -78591
247460 26045
415846 178740
-2653531 -2638477
-144511 -327624
111632 22283
203714 182643
-977377 -2347284
631 63
-13302 32834
267475 -265870
-823 91607
-13868 36542
-82712 82773
1005120 -414199
114995 0
-8678 13200
69898 -68092
124402 -49212
-997141 -79
-81450 -33439
-97627 90101
104934 -39641
79290 712
-310103 -126875
-9834 -8102
-133681 -4260
-29151 -14207
-202127 -202778
-228187 94731
-117060 -1603
98783 49149
390984 -163550
-303141 -1307
-158083 -67918
300732 333115
-8678 -13200
668481 0
-335441 -136942
-73622 -71951
-209926 -563512
1909 -141152
1468997 607949
-677441 -673406
-144379 -341764
9830 -451922
99421 -233580
607731 1466531
1626 655249
-120640 306423
92249 -91905
31052 -11762
245441 -2166
-209645 209988
119007 -48000
-3371 865
593597 237244
69898 68092
-335441 136942
273609 0
149539 63371
-350883 -339006
256 3362
-943109 -3150
548499 228479
185333 184584
-18484 -32366
-2098 122148
-665827 -668849
-141770 -343241
-2400 -402798
11800 -29280
-18571 19532
398674 -170983
-60501 150850
-4474 6264
-107294 46430
1234620 -16396
124402 49212
-73622 71951
149539 -63371
176666 0
-1032270 -409931
-62375 -60285
-331034 138012
256228 -748
134534 53965
-251436 -241821
4726 14606
-334622 -136054
-87057 -86087
-150991 -349356
-3550 -276010
173557 -419608
-2530369 2520652
3141 -362836
258606 -644859
890477 -893008
-9655390 3985946
-997141 79
-209926 563512
-350883 339006
-1032270 409931
9805029 0
890740 366367
-377535 424064
24498 -37958
-322563 -6672
3326705 1370553
292661 282460
-549916 22172
-406931 -152524
1588259 1587567
-22216 -52541
277 -56229
-130111 310404
9039 20757
-630 -102485
52170 -125901
-710187 705164
-81450 33439
1909 141152
256 -3362
-62375 60285
890740 -366367
109220 0
-96318 240711
88666 -92365
16668 -7923
385525 477
65047 26715
-236588 100335
-124536 1640
146854 61483
-413844 415209
-229515 91405
-64594 10829
764782 -768476
-634207 260266
-306927 -3091
102703 78591
-97627 -90101
1468997 -607949
-943109 3150
-331034 -138012
-377535 -424064
-96318 -240711
3891049 0
-2183290 -898925
-671813 -664567
-286894 -737650
6214 -593512
2744909 2743216
608735 1459621
10033 1029625
134563 -324193
99519 -95638
135007 -64870
-257834 624445
283783 -279894
139446 -54742
247460 -26045
104934 39641
-677441 673406
548499 -228479
256228 748
24498 37958
88666 92365
-2183290 898925
1454655 0
555345 227814
236792 255947
127822 320681
-2181176 -907528
-677540 -677324
-272349 -640042
162 -135486
17042 -38801
126231 -128577
-631 288982
54931 -129137
14894 -13669
415846 -178740
79290 -712
-144379 341764
185333 -184584
134534 -53965
-322563 6672
16668 7923
-671813 664567
555345 -227814
275892 0
-12150 1400
83473 86743
-952454 -3696
-352263 -147043
-251050 -249706
-72508 -168871
67 -196175
-486503 1162487
15529 28997
-3403 -349051
187972 -455200
-2653531 2638477
-310103 126875
9830 451922
-18484 32366
-251436 241821
3326705 -1370553
385525 -477
-286894 737650
236792 -255947
-12150 -1400
1484826 0
233771 94556
-705091 306117
-382141 8400
581580 244377
-67798 -66446
-19043 -46931
-2937 105857
105967 103185
-47787 -113603
334 -85748
-144511 327624
-9834 8102
99421 233580
-2098 -122148
4726 -14606
292661 -282460
65047 -26715
6214 593512
127822 -320681
83473 -86743
233771 -94556
109169 0
-411847 419918
-225330 96534
-82448 3547
951 585728
-97240 226752
-43619 53361
-1551 -1083555
-263624 631274
-217414 215014
111632 -22283
-133681 4260
607731 -1466531
-665827 668849
-334622 136054
-549916 -22172
-236588 -100335
2744909 -2743216
-2181176 907528
-952454 3696
-705091 -306117
-411847 -419918
3881852 0
1462339 601896
732307 721631
92826 224611
-1602 110046
23733 -44849
-164564 -397655
-1631 292004
-59407 139412
203714 -182643
-29151 14207
1626 -655249
-141770 343241
-87057 86087
-406931 152524
-124536 -1640
608735 -1459621
-677540 677324
-352263 147043
-382141 -8400
-225330 -96534
1462339 -601896
654208 0
338882 136935
75390 76520
-15460 -35435
-2501 902402
-292870 -294523
10788 32439
13 -220050
-977377 2347284
-202127 202778
-120640 -306423
-2400 402798
-150991 349356
1588259 -1587567
146854 -61483
10033 -1029625
-272349 640042
-251050 249706
581580 -244377
-82448 -3547
732307 -721631
338882 -136935
872184 0
